着順,枠番,馬名,父親,母親,性別,年齢,体重変化量,騎手,人気,調教師,種別,回り方,距離,天気,状態
2,8,シゲルピンクダイヤ,ダイワメジャー,ムーンライトベイ,牝,3,6,和田竜二,7,渡辺薫彦,芝,右,1600m,晴,良
3,2,クロノジェネシス,バゴ,クロノロジスト,牝,3,-4,北村友一,3,斉藤崇史,芝,右,1600m,晴,良
4,7,ダノンファンタジー,ディープインパクト,ライフフォーセール,牝,3,2,川田将雅,1,中内田充正,芝,右,1600m,晴,良
5,7,ビーチサンバ,クロフネ,フサイチエアデール,牝,3,-6,福永祐一,4,友道康夫,芝,右,1600m,晴,良
6,8,プールヴィル,Le Havre,ケンホープ,牝,3,0,秋山真一郎,14,庄野靖志,芝,右,1600m,晴,良
7,1,エールヴォア,ヴィクトワールピサ,フィーリングトーン,牝,3,-2,松山弘平,8,橋口慎介,芝,右,1600m,晴,良
8,7,ジュランビル,キンシャサノキセキ,アリー,牝,3,-4,松若風馬,16,寺島良,芝,右,1600m,晴,良
9,1,シェーングランツ,ディープインパクト,スタセリタ,牝,3,-10,武豊,6,藤沢和雄,芝,右,1600m,晴,良
10,4,アウィルアウェイ,ジャスタウェイ,ウィルパワー,牝,3,-4,石橋脩,11,高野友和,芝,右,1600m,晴,良
11,6,ノーワン,ハーツクライ,プレイガール,牝,3,2,坂井瑠星,12,笹田和秀,芝,右,1600m,晴,良
12,6,メイショウケイメイ,ワークフォース,メイショウアキシノ,牝,3,-2,古川吉洋,18,南井克巳,芝,右,1600m,晴,良
13,5,アクアミラビリス,ヴィクトワールピサ,アクアリング,牝,3,-10,M.デムーロ,5,吉村圭司,芝,右,1600m,晴,良
14,8,レッドアステル,ディープインパクト,レッドエルザ,牝,3,-16,戸崎圭太,15,国枝栄,芝,右,1600m,晴,良
15,5,フィリアプーラ,ハービンジャー,プリンセスカメリア,牝,3,-2,丸山元気,13,菊沢隆徳,芝,右,1600m,晴,良
16,3,ホウオウカトリーヌ,マツリダゴッホ,テルヌーヴ,牝,3,0,大野拓弥,17,栗田徹,芝,右,1600m,晴,良
17,2,ノーブルスコア,ディープインパクト,ファイナルスコア,牝,3,6,岩田康誠,10,藤原英昭,芝,右,1600m,晴,良
18,3,ルガールカルム,ロードカナロア,サンデースマイル2,牝,3,-4,三浦皇成,9,田村康仁,芝,右,1600m,晴,良
1,5,オジュウチョウサン,ステイゴールド,シャドウシルエット,牡,8,-4,石神深一,1,和田正一郎,障害,芝,4250m,晴,良
2,3,シンキングダンサー,コンデュイット,スプリングボード,牡,6,0,金子光希,6,武市康男,障害,芝,4250m,晴,良
